coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
375282,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:d14447fd-6699-41f2-ba7b-9b61f326f1a7,"2019-09-27 13:55:09"
375282,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:5e01ed30-a1ec-4750-bc98-9ee2200e29ff,"2019-09-27 13:55:09"
375283,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:6b1a1e9a-2caa-4915-a6a7-690bc858e647,"2019-09-27 13:58:02"
375283,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:b4b5c0ba-0598-473a-b4ef-2a2788a707cf,"2019-09-27 13:58:02"
375284,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:b8ce70d8-5b3c-4926-9baa-95b1c7106d4c,"2019-09-27 13:58:02"
375284,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:edf53e99-2547-4765-8e23-0212c2bb1813,"2019-09-27 13:58:02"
375285,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:db11b007-d14c-4cdf-bac2-bd7060748847,"2019-09-27 16:11:41"
375285,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:ddd8ebd3-a3ad-45b3-b24e-7035945761a4,"2019-09-27 16:11:41"
375286,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:a3559343-82ae-4351-a85c-c95452acc5a9,"2019-09-27 16:14:09"
375286,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:e6284b09-d85e-45b2-a7fd-d527a47c68cb,"2019-09-27 16:14:09"
375287,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:fe9936af-c9a3-40c0-9f55-75985a5c2b29,"2019-09-27 13:58:02"
375287,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:380fe6c5-a87e-48f4-a02c-406b464e2e95,"2019-09-27 13:58:02"
375288,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:9b26af96-707a-4bb5-8307-263be2b71c65,"2019-09-27 13:58:02"
375288,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:bd662699-ddf5-41e6-95ef-452fd1427963,"2019-09-27 13:58:02"
375290,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:c40f202d-2d0c-4bf0-b033-a75906957120,"2019-09-27 13:58:02"
375290,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:df45c3df-2ec9-4cee-b2bc-d5c9466dd780,"2019-09-27 13:58:02"
375291,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:a42250c0-1e86-4254-96b2-1feac0c82fde,"2019-09-27 13:58:02"
375291,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:e54c1ecc-f546-4444-a0f9-f1c89c18947b,"2019-09-27 13:58:02"
375292,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:09eea8df-7b95-4413-8018-508ec491505a,"2019-09-27 13:58:02"
375292,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:6336317a-30e0-4eb4-b2b2-e49e290de708,"2019-09-27 13:58:02"
375294,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:5ba937c0-4300-4f2d-aa97-87d2a42d585c,"2019-09-27 13:58:02"
375294,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:298a2381-bda5-4749-aef3-afc3437170b0,"2019-09-27 13:58:02"
375295,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:4163debe-3ee9-4262-8c16-3caf001f158f,"2019-09-27 13:55:09"
375295,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:54622395-4880-47b7-8946-d47906235c19,"2019-09-27 13:55:09"
375296,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:3b2a60c3-78c6-44e5-b1a9-bf3a3ae20fe8,"2019-09-27 13:58:02"
375296,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:c43084e5-c930-4e33-8e22-1aeab846fa26,"2019-09-27 13:58:02"
375297,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:5063111a-2181-4bc8-b1fb-7c73d95e2d5a,"2019-09-27 13:58:02"
375297,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:bf7e63d6-2227-4480-b0b0-7ede071e6cae,"2019-09-27 13:58:02"
375298,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:b6ad63d7-76fc-413a-acd0-39390652b6e1,"2019-09-27 13:58:02"
375298,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:961f1cda-63de-4ef7-b874-85ca5200a2be,"2019-09-27 13:58:02"
