coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
32934,https://bisque.cyverse.org/image_service/image/00-UjLC3iFVz5i6fmpSwunzFX/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-UjLC3iFVz5i6fmpSwunzFX/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-UjLC3iFVz5i6fmpSwunzFX/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-UjLC3iFVz5i6fmpSwunzFX/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:d1467069-7466-428b-8991-bb6ad2b0c2bf,"2019-12-04 20:23:52",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=32934,StillImage,Photograph,en
34072,https://bisque.cyverse.org/image_service/image/00-K7gZ2DPXWtghSErZ5YUB8R/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-K7gZ2DPXWtghSErZ5YUB8R/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-K7gZ2DPXWtghSErZ5YUB8R/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-K7gZ2DPXWtghSErZ5YUB8R/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:22798355-b2d3-4fb0-9ae9-db27467e7a50,"2019-12-04 20:23:54",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=34072,StillImage,Photograph,en
34330,https://bisque.cyverse.org/image_service/image/00-cFnTcmMMCbGZhYQ9nWzaoV/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-cFnTcmMMCbGZhYQ9nWzaoV/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-cFnTcmMMCbGZhYQ9nWzaoV/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-cFnTcmMMCbGZhYQ9nWzaoV/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:dac4f941-28b2-484b-8bd0-6d2a5bd86172,"2019-12-04 20:23:53",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=34330,StillImage,Photograph,en
34388,https://bisque.cyverse.org/image_service/image/00-zKEZZREWzsLex2JckCZBxZ/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-zKEZZREWzsLex2JckCZBxZ/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-zKEZZREWzsLex2JckCZBxZ/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-zKEZZREWzsLex2JckCZBxZ/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:7c067b19-3992-4358-b0eb-dec18e160a82,"2019-12-04 20:23:53",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=34388,StillImage,Photograph,en
34887,https://bisque.cyverse.org/image_service/image/00-fKVZXTgzsBAseFPLQXDz9f/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-fKVZXTgzsBAseFPLQXDz9f/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-fKVZXTgzsBAseFPLQXDz9f/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-fKVZXTgzsBAseFPLQXDz9f/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b5078e2e-cd1a-454f-a891-4f958d5676b9,"2019-12-04 20:23:53",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=34887,StillImage,Photograph,en
35298,https://bisque.cyverse.org/image_service/image/00-wivtKCU4ihbEnLFjNnGGCZ/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-wivtKCU4ihbEnLFjNnGGCZ/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-wivtKCU4ihbEnLFjNnGGCZ/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-wivtKCU4ihbEnLFjNnGGCZ/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:44a4d6de-f317-48c2-b132-ee67759b1cb4,"2019-12-04 20:23:52",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=35298,StillImage,Photograph,en
35341,https://bisque.cyverse.org/image_service/image/00-rqgtAChv7qUZMLg3PnV3WN/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-rqgtAChv7qUZMLg3PnV3WN/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-rqgtAChv7qUZMLg3PnV3WN/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-rqgtAChv7qUZMLg3PnV3WN/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b0e0cedb-e6c5-4387-bc58-76250c4c30cf,"2019-12-04 20:23:52",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=35341,StillImage,Photograph,en
35403,https://bisque.cyverse.org/image_service/image/00-eLBbFevRNRDkXEqcMPUWd7/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-eLBbFevRNRDkXEqcMPUWd7/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-eLBbFevRNRDkXEqcMPUWd7/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-eLBbFevRNRDkXEqcMPUWd7/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:bd718c4e-b7ad-4801-b2e5-15689093e811,"2019-12-04 20:23:52",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=35403,StillImage,Photograph,en
36246,https://bisque.cyverse.org/image_service/image/00-Drv8AUSwbqgazwXKLL497a/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-Drv8AUSwbqgazwXKLL497a/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-Drv8AUSwbqgazwXKLL497a/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-Drv8AUSwbqgazwXKLL497a/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:40ab1be4-0d95-4e59-bf08-1b9648521654,"2019-12-04 20:23:53",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=36246,StillImage,Photograph,en
37045,https://bisque.cyverse.org/image_service/image/00-fwiHbU38hdgaPcmR6SVuME/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-fwiHbU38hdgaPcmR6SVuME/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-fwiHbU38hdgaPcmR6SVuME/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-fwiHbU38hdgaPcmR6SVuME/resize:1250/format:jpeg,,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:6c216e8e-da73-439f-bb53-56908b16984f,"2019-12-04 20:23:53",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=37045,StillImage,Photograph,en
