id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,associatedCollectors,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey_dbpk,collId,recordId,references
3219838,UCJEPS,,,PreservedSpecimen,38102a13-d1a6-4920-9b7d-fc857198d0ca,UC10002,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Miss Grace Selby,,1899-01-01,1899,1,1,1,365,1899,"county supplied by Wetherwax; Date as ""1899",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,Solano,,Benecia [Benicia],,0,,38.0554,-122.1312,WGS84,1223,,UCDavis E,,GoogleMaps via BerkeleyMapper,,georef from old CCH cumulative file; (copied from GH341451),,,,,,,,,,5/30/12 20:59,38102a13-d1a6-4920-9b7d-fc857198d0ca,46,urn:uuid:473272e3-8fa0-4ecc-a298-006637e3de15,http://cch2.org/portal/collections/individual/index.php?occid=3219838
3231977,UCJEPS,,,PreservedSpecimen,3b4a81d2-97bd-405f-a867-e9df35f8bac6,UC10008,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,F. T. Bioletti,,1891-01-01,1891,1,1,1,365,1891,"Date as ""1891",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,San Francisco,,San Francisco,,0,,37.775,-122.41833,,,,,,,,,,,,,,,,,,5/30/12 20:59,3b4a81d2-97bd-405f-a867-e9df35f8bac6,46,urn:uuid:53ad8aed-70da-48ae-a04d-33689d6752f4,http://cch2.org/portal/collections/individual/index.php?occid=3231977
3250745,UCJEPS,,,PreservedSpecimen,13c3da2b-4cc0-4016-a30f-248584efefad,UC9994,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Carl Purdy,,1897-01-01,1897,1,1,1,,Jan 1 1897,"Rec'd 1897"", no collection date given",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,Mendocino,,near Ukiah,,0,,39.144787,-123.2056,NAD27,11278,,,,Terrain Navigator (inferred),,(inferred),,,,,,,,,,5/31/12 23:45,13c3da2b-4cc0-4016-a30f-248584efefad,46,urn:uuid:9ccaa6eb-8723-4e1f-92a1-4e40192b2fb1,http://cch2.org/portal/collections/individual/index.php?occid=3250745
3317663,UCJEPS,,,PreservedSpecimen,c3d93a59-2dca-4287-84d8-f374ffe9b194,UC10061,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,G. W. Dunn,,1891-01-01,1891,1,1,1,365,1891,"Date as ""1891",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,San Diego,,San Diego,,0,,32.73409,-117.12945,WGS84,9654,,San Diego NHM A,,TOPO! and personal research,,georef from 2006-2015 archive backup file; Tue Sep 3 16:06:22 2013; (copied from UC101054),,,,,,,,,,5/30/12 20:59,c3d93a59-2dca-4287-84d8-f374ffe9b194,46,urn:uuid:c6503faa-08a9-4391-bd7b-6e29db0ae610,http://cch2.org/portal/collections/individual/index.php?occid=3317663
3327086,UCJEPS,,,PreservedSpecimen,9f7e84a4-ed44-40ad-9db5-c7f7565b46df,JEPS51735,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Dr. L. M. Newlon,,1/1/21,1921,1,1,1,365,1921,"Date as ""1921",sea shore,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,San Mateo,,sea shore from Salada to Mussel,,0,,37.646,-122.4934,WGS84,1023,,,,GoogleMaps via BerkeleyMapper,,,,,,,,,,,,5/29/12 16:28,9f7e84a4-ed44-40ad-9db5-c7f7565b46df,46,urn:uuid:21aaca58-f231-44a0-96cc-4ce49746c0a0,http://cch2.org/portal/collections/individual/index.php?occid=3327086
3359947,UCJEPS,,,PreservedSpecimen,2f8c492c-e9ff-480e-8b21-78a4432e7329,UC85521,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia leptomitra,247632,Greene,Eschscholzia,leptomitra,,,Bingham,,1886-01-01,1886,1,1,1,365,1886,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Barbara,,0,,34.4208,-119.6972,NAD83,7000,,Santa Barbara Botanic Garden A,,GEOLocate,,georef from 2006-2015 archive backup file; Mon Apr 28 17:54:35 2014; (copied from SBBG70340),,,,,,,,,,5/31/12 22:51,2f8c492c-e9ff-480e-8b21-78a4432e7329,46,urn:uuid:e99f8a63-41fb-418c-96b3-62d35327bf19,http://cch2.org/portal/collections/individual/index.php?occid=3359947
3378408,UCJEPS,,,PreservedSpecimen,7ff6a15a-3a8d-4602-a98c-aec21fc32932,UC10016,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Mr. P. B. Westerman,,1898-01-01,1898,1,1,1,,Jan 1 1898,"Received from Mr. P. B. Westerman, 1898",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,Mendocino,,Round Valley,,0,,39.78802,-123.238846,NAD27,6647,,,,Terrain Navigator (inferred),,(inferred),,,,,,,,,,5/30/12 20:59,7ff6a15a-3a8d-4602-a98c-aec21fc32932,46,urn:uuid:5137a5fd-a296-4bdb-9a9e-5c02a94a7b70,http://cch2.org/portal/collections/individual/index.php?occid=3378408
3379198,UCJEPS,,,PreservedSpecimen,cd2abd16-ac8b-4528-97af-f93c51b0ce75,UC112924,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Katharine Brandegee,,1/1/05,1905,1,1,1,365,1905,"county supplied by Wetherwax; Date as ""1905",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,Sonoma,,Bodega Head,,0,,38.312739,-123.064749,WGS84,1765,,UCBerkeley B,,GEOLocate,,georef from 2006-2015 archive backup file; Wed Apr 25 09:42:48 2012; (copied from CAS101160),,,,,,,,,,5/30/12 22:09,cd2abd16-ac8b-4528-97af-f93c51b0ce75,46,urn:uuid:935d0a0e-1be7-4a8b-9e0d-4263b2a6de5f,http://cch2.org/portal/collections/individual/index.php?occid=3379198
3394013,UCJEPS,,,PreservedSpecimen,594ae74c-4208-45da-b483-e7904e6060a8,UC204939,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,Miss M. M. Miles,,1884-01-01,1884,1,1,1,366,1884,"Date as ""1884",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,Santa Barbara,,Santa Barbara,,0,,,,,,,,,,,,,,,,,,,,,5/31/12 17:12,594ae74c-4208-45da-b483-e7904e6060a8,46,urn:uuid:0c4e325b-17dd-4edf-ac8d-a1a5f2592ecf,http://cch2.org/portal/collections/individual/index.php?occid=3394013
3394356,UCJEPS,,,PreservedSpecimen,f68d7362-4b9a-4767-b978-3d89dcb95756,UC338226,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,unknown,,1887-01-01,1887,1,1,1,366,1887-1888,"From Lemmon Herbarium, probably collected by Lemmon. Date as ""1887-1888"". No location beyond county.",,,,,,,,,Flowering/Fruiting,,,,,,,United States,California,San Luis Obispo,,,,0,,,,,,,,,,,,,,,,,,,,,5/31/12 17:54,f68d7362-4b9a-4767-b978-3d89dcb95756,46,urn:uuid:7beef879-15bb-4840-8358-234d10cf2800,http://cch2.org/portal/collections/individual/index.php?occid=3394356
