id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,associatedCollectors,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey_dbpk,collId,recordId,references
39663,SBBG,NA,NA,PreservedSpecimen,0dd71eda-4483-4f2f-bc40-097c5ec92dbf,SBBG167378,34363,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,R. N. Philbrick,NA,1/5/66,1966,1,5,5,NA,1/5/66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flowers Present,NA,NA,NA,NA,NA,NA,United States,California,Santa Barbara,NA,"San Miguel Island: upper Canada del Mar, near Nidever adobe",NA,0,NA,34.0438,-120.3511,NAD27,1000,NA,dwilken,NA,MyTopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/25/18 1:01,NA,16,urn:uuid:57b41775-b01b-4e22-9c18-253aeef521ef,http://cch2.org/portal/collections/individual/index.php?occid=39663
98629,SBBG,NA,NA,PreservedSpecimen,84968193-e20a-4f81-8abf-0f16b7ac7122,SBBG167337,95351,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,C. Zeeb,NA,1/28/84,1984,1,28,28,NA,1/28/84,NA,"sandy soil, W-facing slope",NA,NA,NA,NA,NA,orange fl,NA,Flowers Present,NA,NA,NA,NA,NA,NA,United States,California,San Luis Obispo,NA,Los Osos (Morro Bay Kangaroo Rat reserve),NA,0,NA,35.30625,-120.8601,WGS84,106,NA,CalPoly D,NA,GoogleMaps via BerkeleyMapper (copied from OBI50345),NA,georef from old CCH cumulative file,NA,NA,NA,NA,NA,NA,NA,NA,mguilliams,9/25/18 1:01,NA,16,urn:uuid:851e8093-3dd3-42c5-813f-81b4e0149c09,http://cch2.org/portal/collections/individual/index.php?occid=98629
518945,SD,NA,NA,PreservedSpecimen,{820B9313-8BBE-447D-A2A9-3968E910906B},SD00032923,SD10242,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica subsp. peninsularis,NA,NA,NA,NA,NA,NA,Frank F. Gander,NA,2/2/35,1935,2,2,33,NA,2-Feb-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,NA,NA,NA,United States,California,San Diego,NA,Pacific Beach,NA,0,NA,32.80427,-117.24817,WGS84,1609,NA,mak,NA,TOPO! v3.4.2,NA,NA,NA,NA,NA,NA,NA,unknownft.,NA,NA,NA,1/15/20 10:56,SD10242,43,urn:uuid:1e819527-abe4-4ecc-a7de-c3169c33c876,http://cch2.org/portal/collections/individual/index.php?occid=518945
519126,SD,NA,NA,PreservedSpecimen,{C9CA3059-3726-4E99-A7DB-5A41F2742A9D},SD00032099,SD139814,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,Christopher Christie,NA,2/6/97,1997,2,6,37,NA,6-Feb-97,NA,Rocky slope with clay loam derived from jurassic/triassic metavolcanic rock,NA,"Upright and spreading herb, branched from base and along stems. 25-50 cm high by 40-75 cm wide. Stems glabrous, light green with reddish tinge. Lvs. Finely divided, basal and cauline. Flrs. Golden yellow to orange.",NA,NA,NA,NA,"Cryptantha muricata, Dichelostemma capitatum, Linanthus dianthiflorus, Lepidium densiflorum, Erodium brachycarpum, E. cicutarium",FFL,NA,NA,NA,NA,NA,NA,United States,California,San Diego,NA,Western Otay Mountain foothills of San Ysidro On rocky slope with clay loam derived from jurassic/triassic metavolcanic rock. 1st year after burn,NA,0,NA,32.57441,-116.90937,WGS84,241,NA,mak,NA,"TRS Conversion, TOPO! v3.4.2",NA,NA,308,NA,NA,NA,NA,NA,NA,NA,NA,1/15/20 10:57,SD139814,43,urn:uuid:f3783296-90dd-4360-89bf-a95597ff8bc4,http://cch2.org/portal/collections/individual/index.php?occid=519126
3310317,UCJEPS,NA,NA,PreservedSpecimen,9edf77f5-dcf6-4fe9-ac9f-6b8a56935ccb,UC610547,NA,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,"Edward Lee, Herbert Mason",NA,2/10/35,1935,2,10,41,NA,Feb 10 1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flowering/Fruiting,NA,NA,NA,NA,NA,NA,United States,California,Monterey,NA,Whaler's Knoll Point Lobos State Park,NA,0,NA,36.52167,-121.94611,NAD27,1783,NA,UCSanta Cruz H,NA,Terrain Navigator Pro,NA,georef from 2006-2015 archive backup file; Thu Mar 7 16:54:44 2013; (copied from UC610600),NA,NA,NA,NA,NA,NA,NA,NA,NA,5/31/12 19:43,9edf77f5-dcf6-4fe9-ac9f-6b8a56935ccb,46,urn:uuid:bd8d65e5-d885-49e6-aa86-5a7c3de2ca2e,http://cch2.org/portal/collections/individual/index.php?occid=3310317
117630,SBBG,NA,NA,PreservedSpecimen,ab26125b-2fb4-46e2-ba64-24770b8887c2,SBBG169373,21777,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,E. R. Chandler,NA,2/12/65,1965,2,12,43,NA,2/12/65,NA,open grassy slope,NA,NA,NA,NA,NA,fls deep orange,NA,Flowers Present,NA,NA,NA,NA,NA,NA,United States,California,Santa Barbara,NA,"Santa Ynez Valley: Los Padres National Forest; Happy Cyn Rd, ca. 1 mi beyond the San Ynez River Bridge",NA,0,NA,34.601,-120.028,NAD83,1000,NA,dwilken,NA,MyTopo,NA,NA,NA,NA,NA,NA,NA,700 ft,NA,NA,NA,9/25/18 1:01,NA,16,urn:uuid:e882e23d-1072-4d94-96aa-6b8cf5010059,http://cch2.org/portal/collections/individual/index.php?occid=117630
115809,SBBG,NA,NA,PreservedSpecimen,a7762f70-e5e1-40f6-8550-5d06e93e0184,SBBG170489,136636,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,"Y. Arami, D. Johnson-May, O. Alladeen, P. Perkins, L. Kurtz, J. Lam",NA,2/14/16,2016,2,14,45,NA,2/14/16,relatively abundant,rocky hillside,NA,NA,NA,NA,NA,long skinny stem; tiny skiny lvs; bright yellow flowers,NA,Flowers Present,NA,NA,NA,NA,NA,NA,United States,California,San Luis Obispo,NA,Prospects Fire Lookout Tower (Bowden Ranch Open Space),NA,0,NA,35.2752,-120.6333,unknown,750,NA,NA,NA,Label (GPS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/25/18 1:01,NA,16,urn:uuid:564edadc-5650-443a-a46c-2c744d02d6a2,http://cch2.org/portal/collections/individual/index.php?occid=115809
3235722,UCJEPS,NA,NA,PreservedSpecimen,7777789f-45d6-4e50-aa5d-e86f15eb0761,UC370451,NA,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,H. E. Parks,NA,2/15/29,1929,2,15,46,NA,Feb 15 1929,NA,NA,NA,flower yellow,NA,NA,NA,NA,NA,Flowering/Fruiting,NA,NA,NA,NA,NA,NA,United States,California,San Diego,NA,La Jolla,NA,0,NA,32.8332,-117.25881,WGS84,3218,NA,San Diego NHM A,NA,TOPO!,NA,georef from 2006-2015 archive backup file; Wed Dec 5 12:58:02 2012; (copied from DS93502),76,NA,NA,NA,NA,250 ft,NA,NA,NA,5/31/12 18:02,7777789f-45d6-4e50-aa5d-e86f15eb0761,46,urn:uuid:2753fca4-d331-458b-97e0-8429dbc9eba7,http://cch2.org/portal/collections/individual/index.php?occid=3235722
615457,SFV,NA,NA,PreservedSpecimen,33c19e01-26ae-4f7f-8584-86000a224470,SFV109916,SFV-1365,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,K. A. Wilson,NA,2/18/61,1961,2,18,49,NA,18-Feb-61,NA,NA,NA,Persisting in garden. Root with orange sap. Flower color: petals orange-yellow.,NA,NA,NA,NA,NA,Flowering,Persisting from cultivation,NA,NA,NA,NA,NA,United States,California,Los Angeles,NA,"Santa Monica Mountains; Mulholland Highway, 2 miles west of Seminole Hot Springs on abandoned, overgrown house lot.",NA,0,NA,34.1,-118.8,NA,1000,34° 6m N; 118° 48m W,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,1640 ft.,NA,NA,JNH,9/11/13 0:00,NA,41,urn:uuid:33c19e01-26ae-4f7f-8584-86000a224470,http://cch2.org/portal/collections/individual/index.php?occid=615457
3183703,UCJEPS,NA,NA,PreservedSpecimen,f621d8bc-aab1-44d5-90e7-fc13969f0b01,UC1126405,NA,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,NA,NA,F. W. Embree,NA,2/18/35,1935,2,18,49,NA,Feb 18 1935,NA,"chap., e slope",NA,NA,NA,NA,NA,NA,NA,Flowering/Fruiting,NA,NA,NA,NA,NA,NA,United States,California,Santa Barbara,NA,"Arroyo Burro Canyon Santa Barbara National Forest, Santa Barbara Quadrangle (near head)",NA,0,NA,34.4897,-119.7488,NAD27,805,TRS: 5N27W30,NA,NA,trs2LL,NA,NA,685,NA,NA,NA,NA,2250 ft,NA,NA,NA,5/30/12 22:03,f621d8bc-aab1-44d5-90e7-fc13969f0b01,46,urn:uuid:44424d9d-80c4-48d6-9f10-1ddbcca39c97,http://cch2.org/portal/collections/individual/index.php?occid=3183703
